X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15
"COPD and other chronic respiratory disease: mild; Acute myocardial infarction: days 3-28";"Hearing loss: complete; COPD and other chronic respiratory disease: severe";"Hearing loss: moderate; Acute myocardial infarction: days 3-28";"Anxiety disorders: moderate; Multiple sclerosis: severe";"Decompensated cirrhosis of the liver; COPD and other chronic respiratory disease: severe";"Dementia: mild; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Dementia: mild; Amputation of finger(s), excluding thumb: long term, with treatment";"Dementia: mild; Major depressive disorder: moderate episode";"Angina pectoris: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Acute myocardial infarction: days 3-28; Major depressive disorder: moderate episode";"Hearing loss: complete; Multiple sclerosis: severe";"Musculoskeletal problems, legs: mild; Acute myocardial infarction: days 3-28";"Asthma: partially controlled; Acute myocardial infarction: days 3-28";"COPD and other chronic respiratory disease: severe; Hearing loss: complete";"Parkinson's disease: moderate; Stroke: long-term consequences, severe plus cognition problems"
"Major depressive disorder: moderate episode; Multiple sclerosis: severe";"Dementia: mild; Anemia: moderate";"Hearing loss: moderate; Asthma: partially controlled";"Hearing loss: complete; Motor impairment: moderate";"Cancer: diagnosis and primary therapy; Multiple sclerosis: severe";"Anxiety disorders: moderate; COPD and other chronic respiratory disease: severe";"Diabetic neuropathy; Dementia: mild";"Stroke: long-term consequences, moderate; Spinal cord lesion at neck level: treated";"Distance vision: moderate impairment; Musculoskeletal problems, legs: mild";"Angina pectoris: moderate; Cancer: diagnosis and primary therapy";"Amputation of finger(s), excluding thumb: long term, with treatment; Stroke: long-term consequences, severe plus cognition problems";"Hearing loss: moderate; Anxiety disorders: moderate";"Hearing loss: complete; Multiple sclerosis: severe";"Anemia: moderate; Dementia: mild";"Anemia: moderate; Stroke: long-term consequences, moderate"
"Hearing loss: moderate; Cancer: diagnosis and primary therapy";"Diabetic neuropathy; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anxiety disorders: moderate; Parkinson's disease: moderate";"Stroke: long-term consequences, moderate; Distance vision: severe impairment";"Parkinson's disease: moderate; Anxiety disorders: severe";"COPD and other chronic respiratory disease: severe; Dementia: moderate";"Angina pectoris: moderate; Distance vision: severe impairment";"Hearing loss: complete; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anemia: moderate; Motor impairment: moderate";"Acute myocardial infarction: days 3-28; COPD and other chronic respiratory disease: severe";"Asthma: controlled; Motor impairment: moderate";"Distance vision: moderate impairment; Amputation of finger(s), excluding thumb: long term, with treatment";"Angina pectoris: moderate; Anxiety disorders: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Diabetic neuropathy";"Stroke: long-term consequences, moderate; Dementia: moderate"
"Asthma: controlled; Distance vision: severe impairment";"Asthma: controlled; Anxiety disorders: severe";"Acute myocardial infarction: days 3-28; COPD and other chronic respiratory disease: severe";"Distance vision: moderate impairment; COPD and other chronic respiratory disease: severe";"Asthma: controlled; Decompensated cirrhosis of the liver";"Dementia: mild; Multiple sclerosis: severe";"Stroke: long-term consequences, moderate; Motor impairment: moderate";"Decompensated cirrhosis of the liver; Anxiety disorders: severe";"COPD and other chronic respiratory disease: severe; Spinal cord lesion at neck level: treated";"Diabetic neuropathy; Stroke: long-term consequences, moderate";"COPD and other chronic respiratory disease: mild; Decompensated cirrhosis of the liver";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Distance vision: severe impairment";"Acute myocardial infarction: days 3-28; Spinal cord lesion at neck level: treated";"Anxiety disorders: severe; Asthma: controlled";"Musculoskeletal problems, legs: mild; Amputation of finger(s), excluding thumb: long term, with treatment"
"Spinal cord lesion at neck level: treated; Motor impairment: moderate";"Parkinson's disease: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Spinal cord lesion at neck level: treated; Hearing loss: complete";"Motor impairment: moderate; COPD and other chronic respiratory disease: mild";"Dementia: moderate; Decompensated cirrhosis of the liver";"COPD and other chronic respiratory disease: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"COPD and other chronic respiratory disease: severe; Stroke: long-term consequences, moderate";"Major depressive disorder: moderate episode; Cancer: diagnosis and primary therapy";"Anemia: moderate; Angina pectoris: moderate";"Dementia: moderate; Parkinson's disease: moderate";"Hearing loss: complete; Musculoskeletal problems, legs: mild";"Spinal cord lesion at neck level: treated; Hearing loss: moderate";"Spinal cord lesion at neck level: treated; Cancer: diagnosis and primary therapy";"Amputation of finger(s), excluding thumb: long term, with treatment; Parkinson's disease: moderate";"Major depressive disorder: moderate episode; Stroke: long-term consequences, moderate"
"Anxiety disorders: moderate; Dementia: moderate";"Anxiety disorders: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Major depressive disorder: moderate episode; Decompensated cirrhosis of the liver";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Motor impairment: moderate";"Hearing loss: complete; Stroke: long-term consequences, severe plus cognition problems";"Hearing loss: complete; Motor impairment: moderate";"Acute myocardial infarction: days 3-28; Parkinson's disease: moderate";"Distance vision: moderate impairment; Decompensated cirrhosis of the liver";"Acute myocardial infarction: days 3-28; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"COPD and other chronic respiratory disease: mild; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Diabetic neuropathy; Cancer: diagnosis and primary therapy";"COPD and other chronic respiratory disease: mild; Anxiety disorders: severe";"COPD and other chronic respiratory disease: mild; Spinal cord lesion at neck level: treated";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Anxiety disorders: moderate";"Dementia: mild; Motor impairment: moderate"
"Decompensated cirrhosis of the liver; Anemia: moderate";"Dementia: moderate; Acute myocardial infarction: days 3-28";"COPD and other chronic respiratory disease: severe; Amputation of finger(s), excluding thumb: long term, with treatment";"COPD and other chronic respiratory disease: severe; Diabetic neuropathy";"COPD and other chronic respiratory disease: severe; Angina pectoris: moderate";"Cancer: diagnosis and primary therapy; COPD and other chronic respiratory disease: mild";"Parkinson's disease: moderate; Dementia: mild";"Parkinson's disease: moderate; Acute myocardial infarction: days 3-28";"Decompensated cirrhosis of the liver; Major depressive disorder: moderate episode";"Amputation of finger(s), excluding thumb: long term, with treatment; Hearing loss: moderate";"Spinal cord lesion at neck level: treated; Decompensated cirrhosis of the liver";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Asthma: controlled";"Dementia: moderate; Decompensated cirrhosis of the liver";"Acute myocardial infarction: days 3-28; Dementia: moderate";"Acute myocardial infarction: days 3-28; Asthma: partially controlled"
"Asthma: controlled; Acute myocardial infarction: days 3-28";"Diabetic neuropathy; Anxiety disorders: severe";"Hearing loss: moderate; Diabetic neuropathy";"Motor impairment: moderate; Distance vision: severe impairment";"Diabetic neuropathy; COPD and other chronic respiratory disease: severe";"Hearing loss: moderate; Distance vision: moderate impairment";"Stroke: long-term consequences, moderate; Parkinson's disease: moderate";"Hearing loss: complete; Stroke: long-term consequences, moderate";"Anxiety disorders: moderate; Stroke: long-term consequences, moderate";"Anxiety disorders: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Anemia: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Asthma: controlled; Dementia: mild";"Asthma: controlled; Stroke: long-term consequences, severe plus cognition problems";"Anxiety disorders: severe; Diabetic neuropathy";"Angina pectoris: moderate; Spinal cord lesion at neck level: treated"
"Musculoskeletal problems, legs: mild; Dementia: moderate";"Stroke: long-term consequences, moderate; Spinal cord lesion at neck level: treated";"Hearing loss: moderate; Stroke: long-term consequences, moderate";"Hearing loss: complete; Motor impairment: moderate";"Hearing loss: moderate; Anemia: moderate";"COPD and other chronic respiratory disease: mild; Angina pectoris: moderate";"Hearing loss: moderate; Distance vision: moderate impairment";"Musculoskeletal problems, legs: mild; Distance vision: severe impairment";"Musculoskeletal problems, legs: mild; Motor impairment: moderate";"Angina pectoris: moderate; Motor impairment: moderate";"Acute myocardial infarction: days 3-28; Decompensated cirrhosis of the liver";"COPD and other chronic respiratory disease: mild; Major depressive disorder: moderate episode";"Musculoskeletal problems, legs: mild; Diabetic neuropathy";"Spinal cord lesion at neck level: treated; Stroke: long-term consequences, moderate";"Hearing loss: moderate; Angina pectoris: moderate"
"Distance vision: severe impairment; Parkinson's disease: moderate";"Dementia: moderate; Stroke: long-term consequences, severe plus cognition problems";"Hearing loss: complete; Acute myocardial infarction: days 3-28";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Dementia: moderate";"Major depressive disorder: moderate episode; Distance vision: severe impairment";"Distance vision: moderate impairment; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Decompensated cirrhosis of the liver; Parkinson's disease: moderate";"Musculoskeletal problems, legs: mild; Dementia: mild";"Amputation of finger(s), excluding thumb: long term, with treatment; Distance vision: severe impairment";"Anemia: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anxiety disorders: moderate; Anxiety disorders: severe";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Spinal cord lesion at neck level: treated";"Distance vision: severe impairment; Spinal cord lesion at neck level: treated";"Stroke: long-term consequences, severe plus cognition problems; Dementia: moderate";"Hearing loss: complete; Cancer: diagnosis and primary therapy"
